country_code,year,quarter,hdd_sum,cdd_sum,temp_mean_q
CAN,2020,4,1330.1,0.0,3.542391304347826
CAN,2021,1,2072.6,0.0,-5.028888888888889
CAN,2021,2,491.3,90.69999999999999,13.5978021978022
CAN,2021,3,55.900000000000006,223.29999999999998,19.819565217391304
CAN,2021,4,1281.7,0.0,4.068478260869566
CAN,2022,1,2311.2,0.0,-7.680000000000001
CAN,2022,2,543.0,45.5,12.532967032967033
CAN,2022,3,88.9,208.0,19.294565217391302
CAN,2022,4,1275.7,0.1999999999999993,4.135869565217392
CAN,2023,1,2015.1,0.0,-4.390000000000001
CAN,2023,2,554.1,56.5,12.531868131868134
CAN,2023,3,51.199999999999996,189.6,19.504347826086956
CAN,2023,4,1317.7,10.399999999999999,3.7902173913043478
CAN,2024,1,1890.7,0.0,-2.776923076923077
CAN,2024,2,462.8,73.0,13.716483516483517
CAN,2024,3,49.0,221.1,19.870652173913044
CAN,2024,4,1358.4,0.3999999999999986,3.239130434782609
NZL,2010,1,160.7,2.400000000000002,16.241111111111113
NZL,2010,2,471.7,0.0,12.816483516483515
NZL,2010,3,678.4,0.0,10.626086956521739
NZL,2010,4,385.1,1.0000000000000036,13.825000000000001
NZL,2011,1,148.5,10.399999999999991,16.465555555555557
NZL,2011,2,456.8,0.0,12.98021978021978
NZL,2011,3,729.3,0.0,10.072826086956523
NZL,2011,4,415.3,0.0,13.485869565217392
NZL,2012,1,234.7,0.3000000000000007,15.424175824175823
NZL,2012,2,522.6,0.0,12.257142857142858
NZL,2012,3,643.0,0.0,11.01086956521739
NZL,2012,4,393.0,2.0,13.75
NZL,2013,1,122.4,6.0,16.706666666666667
NZL,2013,2,459.2,0.0,12.953846153846154
NZL,2013,3,606.5,0.0,11.407608695652174
NZL,2013,4,319.3,0.0,14.529347826086957
NZL,2014,1,183.5,2.3000000000000007,15.986666666666666
NZL,2014,2,397.3,0.0,13.634065934065935
NZL,2014,3,687.3,0.0,10.529347826086957
NZL,2014,4,398.3,0.0,13.670652173913044
NZL,2015,1,115.2,19.899999999999988,16.941111111111113
NZL,2015,2,437.2,0.5,13.2010989010989
NZL,2015,3,722.5,0.0,10.146739130434783
NZL,2015,4,415.4,0.0,13.484782608695651
NZL,2016,1,88.3,43.2,17.504395604395604
NZL,2016,2,348.7,0.3999999999999986,14.172527472527474
NZL,2016,3,653.6,0.0,10.895652173913044
NZL,2016,4,371.90000000000003,0.0,13.957608695652173
NZL,2017,1,146.8,6.099999999999998,16.436666666666667
NZL,2017,2,491.2,0.0,12.602197802197802
NZL,2017,3,647.2,0.0,10.965217391304348
NZL,2017,4,283.8,14.400000000000006,15.071739130434782
NZL,2018,1,67.39999999999999,103.8,18.404444444444444
NZL,2018,2,484.9,0.0,12.67142857142857
NZL,2018,3,642.2,0.0,11.019565217391303
NZL,2018,4,335.6,2.1999999999999993,14.376086956521737
NZL,2019,1,73.10000000000001,51.800000000000026,17.763333333333335
NZL,2019,2,460.2,0.0,12.942857142857143
NZL,2019,3,650.0,0.0,10.934782608695652
NZL,2019,4,351.4,0.6000000000000014,14.18695652173913
NZL,2020,1,152.7,23.90000000000001,16.584615384615386
NZL,2020,2,462.8,0.0,12.914285714285715
NZL,2020,3,644.5,0.0,10.994565217391305
NZL,2020,4,365.7,0.0,14.025
NZL,2021,1,129.70000000000002,14.900000000000006,16.724444444444444
NZL,2021,2,411.9,0.0,13.473626373626372
NZL,2021,3,658.3,0.0,10.844565217391304
NZL,2021,4,280.59999999999997,3.100000000000005,14.983695652173912
NZL,2022,1,126.4,31.800000000000004,16.94888888888889
NZL,2022,2,379.9,1.0999999999999979,13.837362637362638
NZL,2022,3,620.0,0.0,11.26086956521739
NZL,2022,4,310.2,3.599999999999998,14.667391304347827
NZL,2023,1,109.0,40.7,17.241111111111113
NZL,2023,2,375.4,0.1999999999999993,13.876923076923076
NZL,2023,3,662.1,0.0,10.803260869565218
NZL,2023,4,358.4,4.100000000000001,14.148913043478261
NZL,2024,1,130.6,36.2,16.962637362637363
NZL,2024,2,513.9,1.1999999999999993,12.365934065934065
NZL,2024,3,629.1,0.0,11.161956521739132
NZL,2024,4,313.5,0.0,14.592391304347826
